BHID;FROM;TO;LITO;feglc;siglc;pglc;alglc;mnglc;pfglc;tiglc;mgglc;caglc;foglc;peso
FDCM0363;73.9;83.25;IGO;47.29725;31.5231;0.1071;1.3776;0.042;4.44885;0.03465;0.0378;0.021;0.30135;3.19
FDCM0363;83.25;92.95;IF;42.79275;41.88975;0.07875;0.61635;0.00315;1.722;0.01995;0.00315;0.0126;0.3738;2.47
FDCM0363;92.95;104.65;IF;39.7215;45.3894;0.1071;0.5775;0.00525;2.22495;0.021;0.0021;0.0126;0.3024;2.47
FDCM0363;104.65;121.05;IN;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0363;121.05;130.3;IF;37.67085;48.21915;0.06405;0.70665;0.0021;1.8837;0.01995;0.00105;0.01155;0.2814;2.47
FDCM0363;130.3;141.25;IGO;41.5548;41.51595;0.1659;0.462;0.0546;3.30435;0.0084;0.00105;0.01155;0.2142;3.19
FDCM0363;141.25;143.35;IC;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;3.19
FDCM0363;143.35;153.6;IC;34.48935;54.6084;0.0336;0.30345;0.0273;1.05945;0.00315;0.0021;0.00525;0.4074;3.19
FDCM0363;153.6;163.4;IFR;55.3161;22.22745;0.04515;1.39965;0.0021;2.0244;0.06405;0.0168;0.01155;0.21105;2.47
FDCM0363;163.4;174;IC;41.97375;43.18755;0.0714;0.13335;0.0231;2.268;0.00105;0.00105;0.00525;0.85575;3.19
FDCM0363;174;184.9;IC;33.70395;52.8381;0.0861;0.58695;0.0189;3.44085;0.04095;0.0168;0.0126;0.3066;3.19
FDCM0363;184.9;193.75;IC;33.73965;54.55695;0.0693;0.2562;0.0021;2.3646;0.0021;0.0189;0.00735;0.3654;3.19
FDCM0363;193.75;202.3;IC;31.71315;57.6345;0.04935;0.231;0.00525;1.9551;0.00315;0.0021;0.00735;0.252;3.19
FDCM0363;202.3;211.2;IC;42.15855;41.93385;0.09345;0.2898;0.01995;2.6838;0.0168;0.01155;0.0063;0.27825;3.19
FDCM0363;211.2;219.7;IC;36.6891;50.89455;0.03885;0.18165;0.01155;1.62435;0.00105;0.04515;0.0042;0.39795;3.19
FDCM0363;219.7;227.75;IC;38.3628;48.93525;0.05775;0.1932;0.01785;1.659;0.00105;0.0189;0.00525;0.3402;3.19
FDCM0363;227.75;236.25;IC;40.47435;44.58825;0.10185;0.3738;0.01365;2.6481;0.0189;0.0105;0.01155;0.2352;3.19
FDCM0368;0;5;IF;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2.47
FDCM0368;5;11.95;IF;47.69415;31.3845;0.07035;1.06785;0.1155;4.06455;0.03045;0.0756;0.01155;0.19005;2.47
FDCM0368;11.95;20.7;IFR;55.35285;21.27195;0.0525;1.4553;0.0357;2.37615;0.01995;0.05985;0.0084;0.31815;2.47
FDCM0368;20.7;30.4;IFR;54.9696;22.533;0.0357;0.84105;0.01365;2.7111;0.0084;0.0462;0.0084;0.4977;2.47
FDCM0368;30.4;38.5;IF;53.53215;23.5557;0.0819;1.24635;0.0147;2.88855;0.0231;0.05355;0.00735;0.75915;2.47
FDCM0368;38.5;47;IF;52.2396;25.8132;0.0546;1.84905;0.0084;2.09055;0.01575;0.0546;0.0105;0.76545;2.47
FDCM0368;47;54.25;IGO;57.54735;13.24155;0.189;1.617;0.05775;7.1736;0.0546;0.07035;0.01365;0.43995;3.19
FDCM0368;54.25;63.35;IFR;56.50155;20.4309;0.1134;0.87255;0.03045;2.77515;0.01575;0.02415;0.01365;0.53865;2.47
FDCM0368;63.35;73.1;IF;50.21835;30.4815;0.0441;1.1844;0.01785;1.5225;0.01155;0.0147;0.0126;0.4662;2.47
FDCM0368;73.1;82.8;IF;44.5263;39.4569;0.0462;0.798;0.00945;1.3587;0.00945;0.01995;0.0105;0.46935;2.47
FDCM0368;82.8;92.1;IF;45.2004;37.75275;0.05775;1.25895;0.0084;1.6233;0.01365;0.021;0.00945;0.7938;2.47
FDCM0368;92.1;97.45;IGO;41.3994;36.73425;0.1764;1.4007;0.1974;6.9867;0.042;0.0714;0.0126;0.189;3.19
FDCM0368;97.45;107.5;IF;43.7346;40.43445;0.0483;0.71085;0.0147;1.31985;0.0105;0.0168;0.0105;0.27195;2.47
FDCM0368;107.5;116.6;IF;39.4989;44.38035;0.0924;2.0013;0.01155;2.0475;0.0231;0.0231;0.0105;0.25725;2.47
FDCM0368;116.6;124.1;IGO;37.7769;44.50005;0.1869;1.5708;0.0504;4.4205;0.021;0.01995;0.0147;0.189;3.19
FDCM0368;124.1;132.1;IF;37.77585;48.0459;0.063;0.93555;0.00525;1.9404;0.0084;0.0147;0.0042;0.3066;2.47
FDCM0368;132.1;140.55;IF;31.1913;57.9726;0.042;0.50085;0.00525;1.65375;0.01155;0.0147;0.00525;0.2037;2.47
FDCM0368;140.55;149.5;IF;33.4992;54.9297;0.05145;0.483;0.00735;2.01705;0.0063;0.01575;0.0042;0.1911;2.47
FDCM0369;0;3.2;CG;60.17655;12.71025;0.1008;2.1399;0.05565;3.8136;0.0882;0.09765;0.0105;0.63;2.88
FDCM0369;3.2;12.7;IFR;58.28025;17.03205;0.0525;2.0013;0.02415;2.3394;0.02835;0.0735;0.01155;0.27825;2.47
FDCM0369;12.7;22;IFR;53.7012;24.77475;0.0588;0.85155;0.0546;2.3121;0.021;0.0777;0.01575;0.19005;2.47
FDCM0369;22;31.9;IF;49.67445;31.33095;0.0399;0.86625;0.01785;1.64535;0.01365;0.03885;0.0084;0.36855;2.47
FDCM0369;31.9;40;IF;44.93685;36.96735;0.05775;0.78435;0.01575;2.0937;0.00525;0.03885;0.01575;0.2205;2.47
FDCM0369;40;49.3;IF;44.6733;38.1192;0.08295;0.4158;0.0168;1.66215;0.00525;0.03045;0.0063;0.28035;2.47
FDCM0369;49.3;58.9;IF;37.9449;48.1425;0.0651;0.525;0.0147;1.52145;0.0042;0.02205;0.0084;0.2079;2.47
FDCM0369;58.9;67.5;IF;39.5724;45.4944;0.07665;0.4452;0.0105;1.59495;0.0021;0.0273;0.00945;0.1932;2.47
FDCM0369;67.5;75.8;IF;49.266;30.5655;0.09765;1.71885;0.0021;1.9677;0.0168;0.03045;0.0105;0.39375;2.47
FDCM0369;75.8;80.3;IGO;51.8616;21.79485;0.252;1.2705;0.0546;6.6591;0.0399;0.05565;0.0168;0.31395;3.19
FDCM0369;80.3;89.1;IF;48.03015;32.59725;0.06405;0.98805;0.00735;2.40975;0.0105;0.0462;0.00525;0.4473;2.47
FDCM0369;89.1;96.6;IF;48.1656;32.60355;0.07035;0.93765;0.01155;2.3079;0.01785;0.04515;0.00525;0.57645;2.47
FDCM0369;96.6;101.8;IGO;42.525;33.54435;0.1953;1.8228;0.18165;7.6083;0.06615;0.1449;0.01365;0.3927;3.19
FDCM0369;101.8;113.2;IF;42.20895;40.27065;0.04935;1.46685;0.01155;1.9236;0.0126;0.03885;0.0105;0.3969;2.47
FDCM0369;113.2;121.35;IGO;35.1708;47.95245;0.13755;1.04265;0.05985;4.5024;0.0168;0.05145;0.0063;0.20055;3.19
FDCM0369;121.35;131.7;IF;37.5795;47.8968;0.06825;0.9849;0.00315;2.25225;0.00945;0.0147;0.0126;0.34545;2.47
FDCM0369;131.7;144.3;IF;43.9404;37.56165;0.09555;1.2348;0.0042;3.21405;0.03255;0.01995;0.00315;0.2961;2.47
FDCM0369;144.3;158;IF;38.93715;43.93305;0.06615;0.8799;0.0147;4.10655;0.0231;0.02415;0.00315;0.25935;2.47
